feature,importance
volatility_60,862
spread_bps,743
tod_sin,703
tod_cos,655
trade_intensity_10,500
volatility_10,480
momentum_20,453
ret_10,433
ofi_sum_60,385
trade_flow_10,383
trade_count_log,248
ofi_sum_10,241
quote_age_seconds,234
book_imbalance_1,223
ret_5,216
depth_bid_10_log,192
ret_2,189
depth_ask_10_log,183
trade_imbalance,182
microprice_delta_bps,157
ofi_ema_20,148
depth_bid_5_log,148
trade_volume_log,132
ret_1,129
trade_volume_change_1,124
depth_ask_5_log,123
book_imbalance_5,114
ofi_ema_5,112
depth_change_ask_5,102
ofi_lag_5,90
depth_change_bid_5,78
ofi,74
book_imbalance_10,64
momentum_5,56
ofi_lag_1,42
